订单 Id,利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单日期,邮寄方式,销售额
CN-2015-3172853,0.15 ,1,Harbour Creations,"Harbour Creations 有色标签, 可调",45.00 ,2016/6/2,中国,西北,西宁,标签,熊丽,0.00 ,6,青海,办公用品,公司,2016/5/28,二级,302.00 
CN-2014-5552260,0.10 ,1,Eldon,"Eldon 框架, 优质",193.00 ,2015/7/26,中国,西南,绵阳,用具,曾康,0.40 ,6,四川,家具,消费者,2015/7/26,当日,1930.00 
US-2012-1357144,-0.50 ,1,思科,"思科 充电器, 混合尺寸",-3664.00 ,2013/12/18,中国,中南,武汉,电话,郝升,0.40 ,4,湖北,技术,消费者,2013/12/14,标准级,7327.00 
CN-2012-5926511,0.24 ,1,Wilson Jones,"Wilson Jones 孔加固材料, 实惠",10.00 ,2013/11/22,中国,西北,韩城,装订机,程聪,0.00 ,2,陕西,办公用品,消费者,2013/11/17,标准级,42.00 
CN-2012-5926511,0.28 ,1,Eldon,"Eldon 搁板, 金属",186.00 ,2013/11/22,中国,西北,韩城,收纳具,程聪,0.00 ,3,陕西,办公用品,消费者,2013/11/17,标准级,665.00 
CN-2012-5926511,0.43 ,1,Rogers,"Rogers 盘, 金属",244.00 ,2013/11/22,中国,西北,韩城,收纳具,程聪,0.00 ,2,陕西,办公用品,消费者,2013/11/17,标准级,567.00 
CN-2012-5926511,0.44 ,1,Rogers,"Rogers 盘, 工业",255.00 ,2013/11/22,中国,西北,韩城,收纳具,程聪,0.00 ,2,陕西,办公用品,消费者,2013/11/17,标准级,580.00 
US-2015-4733722,-0.57 ,1,Stiletto,"Stiletto 大剪刀, 钢",-226.00 ,2016/5/24,中国,华东,盐城,用品,顾黎明,0.40 ,3,江苏,办公用品,消费者,2016/5/21,二级,399.00 
US-2015-4733722,-0.03 ,1,Novimex,"Novimex 折叠椅, 每套两件",-39.00 ,2016/5/24,中国,华东,盐城,椅子,顾黎明,0.40 ,5,江苏,家具,消费者,2016/5/21,二级,1183.00 
US-2015-4733722,-0.05 ,1,OIC,"OIC 夹子, 整包",-14.00 ,2016/5/24,中国,华东,盐城,系固件,顾黎明,0.40 ,5,江苏,办公用品,消费者,2016/5/21,二级,277.00 
US-2015-4733722,0.10 ,1,Ames,"Ames 局间信封, 银色",66.00 ,2016/5/24,中国,华东,盐城,信封,顾黎明,0.00 ,3,江苏,办公用品,消费者,2016/5/21,二级,665.00 
US-2015-4733722,-2.15 ,1,Sanford,"Sanford 荧光笔, 蓝色",-63.00 ,2016/5/24,中国,华东,盐城,美术,顾黎明,0.80 ,2,江苏,办公用品,消费者,2016/5/21,二级,29.00 
CN-2015-5834341,0.28 ,1,爱普生,"爱普生 收据打印机, 耐用",612.00 ,2016/11/14,中国,中南,南宁,设备,马惠英,0.00 ,4,广西,技术,公司,2016/11/10,标准级,2187.00 
CN-2013-1973789,0.08 ,1,Elite,"Elite 修剪器, 工业",48.00 ,2014/1/28,中国,华东,泉州,用品,涂博,0.00 ,3,福建,办公用品,消费者,2014/1/25,一级,606.00 
CN-2013-1973789,0.31 ,1,Cuisinart,"Cuisinart 咖啡研磨机, 红色",223.00 ,2014/1/28,中国,华东,泉州,器具,涂博,0.00 ,4,福建,办公用品,消费者,2014/1/25,一级,721.00 
CN-2015-3766882,0.49 ,1,Elite,"Elite 开信刀, 钢",122.00 ,2016/11/18,中国,华北,天津,用品,巩松,0.00 ,2,天津,办公用品,小型企业,2016/11/14,标准级,249.00 
CN-2015-3665640,0.00 ,1,Avery,"Avery 装订机, 回收",0.00 ,2016/10/28,中国,华北,天津,装订机,孙辉,0.00 ,3,天津,办公用品,小型企业,2016/10/23,二级,186.00 
CN-2015-3665640,0.03 ,1,Eldon,"Eldon 闹钟, 优质",69.00 ,2016/10/28,中国,华北,天津,用具,孙辉,0.00 ,9,天津,家具,小型企业,2016/10/23,二级,2316.00 
CN-2015-3665640,0.44 ,1,Safco,"SAFCO 扶手椅, 红色",947.00 ,2016/10/28,中国,华北,天津,椅子,孙辉,0.00 ,1,天津,家具,小型企业,2016/10/23,二级,2153.00 
CN-2013-5378913,0.06 ,1,Novimex,"Novimex 折叠椅, 黑色",156.00 ,2014/10/12,中国,东北,七台河,椅子,彭伟,0.00 ,7,黑龙江,家具,小型企业,2014/10/10,一级,2607.00 
CN-2013-5378913,0.12 ,1,Memorex,"Memorex 键区, 回收",96.00 ,2014/10/12,中国,东北,七台河,配件,彭伟,0.00 ,4,黑龙江,技术,小型企业,2014/10/10,一级,803.00 
CN-2014-2045726,0.15 ,1,Fiskars,"Fiskars 修剪器, 锯齿状",82.00 ,2015/10/18,中国,华东,徐州,用品,巩关茵,0.40 ,5,江苏,办公用品,公司,2015/10/17,一级,546.00 
CN-2014-2045726,-0.33 ,1,Hewlett,"Hewlett 复印机, 彩色",-1485.00 ,2015/10/18,中国,华东,徐州,复印机,巩关茵,0.40 ,6,江苏,技术,公司,2015/10/17,一级,4454.00 
CN-2015-2328434,0.05 ,1,Eaton,"Eaton 计划信息表, 每包 12 个",17.00 ,2016/9/15,中国,华东,扬州,纸张,黄娟,0.00 ,3,江苏,办公用品,消费者,2016/9/12,一级,346.00 
CN-2014-3984376,0.45 ,1,Acco,"Acco 孔加固材料, 透明",38.00 ,2015/8/7,中国,华北,北京,装订机,陈莲,0.00 ,3,北京,办公用品,公司,2015/8/5,二级,86.00 
CN-2015-5057492,0.02 ,1,KitchenAid,"KitchenAid 微波炉, 黑色",29.00 ,2016/2/2,中国,中南,株洲,器具,韦锦,0.00 ,1,湖南,办公用品,消费者,2016/1/28,二级,1446.00 
CN-2015-1118317,0.39 ,1,诺基亚,"诺基亚 办公室电话机, 整包",356.00 ,2016/5/25,中国,东北,青冈,电话,谭珊,0.00 ,3,黑龙江,技术,消费者,2016/5/20,标准级,913.00 
CN-2014-1498643,0.42 ,1,贝尔金,"贝尔金 路由器, 耐用",1015.00 ,2015/6/22,中国,华东,新泰,配件,牛德伟,0.00 ,2,山东,技术,消费者,2015/6/22,当日,2417.00 
CN-2014-1498643,0.26 ,1,Fiskars,"Fiskars 大剪刀, 工业",298.00 ,2015/6/22,中国,华东,新泰,用品,牛德伟,0.00 ,5,山东,办公用品,消费者,2015/6/22,当日,1149.00 
US-2015-4595101,-2.40 ,1,Stanley,"Stanley 铅笔刀, 整包",-337.00 ,2016/2/24,中国,华东,仪征,美术,马惠英,0.80 ,6,江苏,办公用品,公司,2016/2/21,二级,140.00 
US-2015-4595101,0.12 ,1,Avery,"Avery 装订机, 实惠",13.00 ,2016/2/24,中国,华东,仪征,装订机,马惠英,0.40 ,3,江苏,办公用品,公司,2016/2/21,二级,108.00 
CN-2013-3269021,0.34 ,1,Ames,"Ames 外皮和封条, 回收",166.00 ,2014/10/8,中国,华东,镇江,信封,冯丽丽,0.00 ,6,江苏,办公用品,消费者,2014/10/8,当日,490.00 
CN-2013-3269021,-0.57 ,1,StarTech,"StarTech 收据打印机, 红色",-171.00 ,2014/10/8,中国,华东,镇江,设备,冯丽丽,0.40 ,1,江苏,技术,消费者,2014/10/8,当日,302.00 
CN-2013-3269021,0.10 ,1,GlobeWeis,"GlobeWeis 马尼拉纸信封, 银色",28.00 ,2014/10/8,中国,华东,镇江,信封,冯丽丽,0.00 ,2,江苏,办公用品,消费者,2014/10/8,当日,278.00 
CN-2013-3269021,0.15 ,1,罗技,"罗技 记忆卡, 耐用",173.00 ,2014/10/8,中国,华东,镇江,配件,冯丽丽,0.40 ,4,江苏,技术,消费者,2014/10/8,当日,1160.00 
CN-2013-3269021,-0.15 ,1,诺基亚,"诺基亚 办公室电话机, 全尺寸",-196.00 ,2014/10/8,中国,华东,镇江,电话,冯丽丽,0.40 ,7,江苏,技术,消费者,2014/10/8,当日,1302.00 
CN-2013-3269021,0.08 ,1,Smead,"Smead 锁柜, 单宽度",222.00 ,2014/10/8,中国,华东,镇江,收纳具,冯丽丽,0.00 ,3,江苏,办公用品,消费者,2014/10/8,当日,2778.00 
CN-2013-3269021,0.46 ,1,Kraft,"Kraft 搭扣信封, 银色",97.00 ,2014/10/8,中国,华东,镇江,信封,冯丽丽,0.00 ,4,江苏,办公用品,消费者,2014/10/8,当日,213.00 
CN-2013-3269021,-0.23 ,1,Elite,"Elite 美工刀, 工业",-48.00 ,2014/10/8,中国,华东,镇江,用品,冯丽丽,0.40 ,2,江苏,办公用品,消费者,2014/10/8,当日,204.00 
CN-2013-2594036,0.08 ,1,Hon,"Hon 摇椅, 红色",61.00 ,2014/2/21,中国,华东,杭州,椅子,雷木兰,0.40 ,2,浙江,家具,消费者,2014/2/15,标准级,731.00 
US-2012-3737485,-0.62 ,1,贝尔金,"贝尔金 闪存驱动器, 回收",-344.00 ,2013/12/26,中国,华东,杭州,配件,马惠英,0.40 ,5,浙江,技术,公司,2013/12/24,二级,557.00 
CN-2014-3815654,0.44 ,1,惠普,"惠普 墨水, 彩色",1336.00 ,2015/3/4,中国,中南,禹州,复印机,丁妮,0.00 ,5,河南,技术,公司,2015/2/27,标准级,3037.00 
US-2015-2352370,-0.12 ,1,Enermax,"Enermax 键盘, 实惠",-164.00 ,2016/9/17,中国,东北,沈阳,配件,沈聪,0.40 ,6,辽宁,技术,消费者,2016/9/11,标准级,1402.00 
